"Ajdovšèina";1933;1567;441;101
"Apaèe";512;248;43;5
"Beltinci";949;744;132;18
"Benedikt";226;227;44;20
"Bistrica ob Sotli";163;118;31;4
"Bled";934;655;127;17
"Bloke";151;101;51;12
"Bohinj";596;379;121;28
"Borovnica";448;331;81;15
"Bovec";384;216;37;8
"Braslovèe";602;449;90;15
"Brda";628;549;85;8
"Brezovica";1195;957;263;53
"Brežice";2827;1859;299;56
"Cankova";240;154;25;3
"Celje";6006;3444;484;77
"Cerklje na Gorenjskem";621;669;178;50
"Cerknica";1094;919;246;45
"Cerkno";504;416;102;30
"Cerkvenjak";243;167;43;6
"Cirkulane";278;169;29;9
"Èrenšovci";481;363;62;18
"Èrna na Koroškem";390;201;36;11
"Èrnomelj";1596;1216;225;52
"Destrnik";317;228;35;4
"Divaèa";447;295;38;7
"Dobje";110;77;20;5
"Dobrepolje";334;307;124;36
"Dobrna";250;170;39;7
"Dobrova - Polhov Gradec";678;635;196;78
"Dobrovnik/Dobronak";166;100;21;4
"Dol pri Ljubljani";571;476;112;35
"Dolenjske Toplice";367;324;56;10
"Domžale";3545;3041;621;127
"Dornava";307;239;35;6
"Dravograd";1005;667;123;17
"Duplek";891;508;82;14
"Gorenja vas - Poljane";566;554;291;124
"Gorišnica";459;370;61;12
"Gorje";318;250;62;14
"Gornja Radgona";1066;635;91;21
"Gornji Grad";271;187;65;8
"Gornji Petrovci";286;145;20;8
"Grad";310;175;35;4
"Grosuplje";1773;1733;456;103
"Hajdina";488;267;45;11
"Hoèe - Slivnica";1402;761;102;30
"Hodoš/Hodos";33;26;1;3
"Horjul";253;229;81;36
"Hrastnik";1250;665;88;12
"Hrpelje - Kozina";534;333;51;2
"Idrija";1218;945;216;60
"Ig";712;595;122;22
"Ilirska Bistrica";1596;1201;148;19
"Ivanèna Gorica";1461;1303;418;100
"Izola/Isola";1936;1225;128;12
"Jesenice";2544;1689;259;48
"Jezersko";63;46;22;3
"Juršinci";270;214;42;10
"Kamnik";3049;2504;641;89
"Kanal";677;453;100;19
"Kidrièevo";802;538;77;9
